implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
simd C++,8,2,1,1,0.9119917000000002,0.813834,1.053417
simd C++,8,4,2,2,2.934157,2.904666,3.137583
simd C++,8,8,4,4,11.061134833333332,10.99,11.108958
simd C++,8,16,8,8,45.07927086666667,44.92125,45.258417
simd C++,8,32,16,16,187.18498486666667,186.949959,187.381334
simd C++,8,64,32,32,866.2085277333334,865.417958,870.927667
simd C++,8,128,64,64,4397.3950515,4392.991708,4414.405125
