implementation,batch,tokens,channels,avg_cycles,min_cycles,max_cycles
C++,8,16,2,3716755107,3627455413,3770419256
C++,8,32,2,7488478971,7394043046,7699361441
C++,8,64,2,14364177482,14255627551,14636719181
