implementation,batch,tokens,channels,avg_cycles,min_cycles,max_cycles
Python,8,16,2,137724660,126495955,163293224
Python,8,32,2,235238416,208885013,284167581
Python,8,64,2,441197503,399451800,521781219
Python,8,128,2,690733671,655358779,773717778
Python,8,256,2,1530456246,1468971440,1761467130
Python,8,512,2,3259409752,3170171173,3530029221
Python,8,1024,2,8302354987,7978853452,8520963185
Python,8,2048,2,19707200840,19638817019,19824607813
Python,8,4096,2,62539189220,62195052154,62883326286
