implementation,batch,tokens,channels,avg_cycles,min_cycles,max_cycles
C++,1,4,2,1483812457,1421147561,1646282782
C++,1,8,2,2852199293,2787588461,3020895341
C++,1,16,2,5123225250,4986836700,5306718481
C++,2,4,2,2882239149,2805487278,2979812741
C++,2,16,2,9757737989,9583910380,10225129600
C++,4,32,2,37562016214,36664684040,38367234076
