implementation,flag_id,flags,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,3.9746485666666667,2.069625,12.335917
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,15.236575066666665,8.395708,57.9185
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,40.93415143333334,32.643209,83.876208
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,134.97822786666666,132.775375,170.579125
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,681.9261291,607.174208,980.685375
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,3493.7448472333335,3342.160792,3708.875208
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,16994.8616584,16649.994917,19448.218583
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,2.3827443666666666,1.633167,11.544333
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,17.831843133333333,6.345542,46.755667
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,32.930609666666676,28.309375,86.462208
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,148.75399163333333,126.059291,199.85225
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,598.4924458,578.028333,751.637375
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,2835.3079612333336,2807.127292,2881.874916
Optimized C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,16293.878416733334,15071.537042,17114.528125
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.4444069333333331,1.227083,3.531542
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,7.499036233333333,5.174042,16.361542
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,24.032065400000004,22.67175,26.216916
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,104.82640833333332,97.158125,122.80125
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,466.41915283333327,448.57575,486.176209
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,2438.4519235666667,2364.3585,2524.677708
Optimized C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,16293.104872233334,14367.745,18147.9125
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.6121750000000001,1.446042,2.352541
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,10.635880499999997,8.450791,29.730583
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,39.96334299999999,37.904667,44.650125
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,180.4563999666667,164.406625,208.77475
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,726.7632888666667,708.650042,750.788916
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,3554.066282033333,3391.407875,3688.8655
Optimized C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,18367.45650136667,17786.380792,18885.042208
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.6146680333333336,1.430917,1.809459
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,8.520262466666669,8.204125,9.461125
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,44.541812500000006,41.090459,52.793292
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,180.2489903333333,161.167792,224.00275
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,717.9209817999998,705.3275,734.824625
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,3342.6488027333344,2873.207917,4180.957084
Optimized C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,17808.699762433334,14913.348125,19563.048417
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.9481112,0.945375,0.953667
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,5.0847736,4.165084,12.774541
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,29.021359766666667,27.637417,38.686833
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,114.5329764666667,104.852375,126.900709
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,441.04373469999996,433.105916,457.385375
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,2057.5527209,2039.901792,2075.970875
SIMD C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,10358.242611,10181.418,11845.4005
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.3221292666666669,1.269459,1.56275
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,6.131618133333332,5.317,11.744042
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,30.820206900000002,27.872167,40.309667
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,120.28662906666668,112.708292,140.412125
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,457.3902818666667,445.532458,468.554708
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,2071.9039291333333,2030.353958,2128.009125
SIMD C++,o3_no_autovec,-std=c++17 -Wall -O3 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,8682.1934833,8136.850375,11461.818583
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.8292930666666665,0.790291,0.899833
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,3.6162694333333336,3.097375,5.228959
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,20.425594533333335,18.392833,24.047958
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,86.80197366666665,80.484417,106.957333
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,354.56135426666674,350.111333,360.80025
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1898.5551695333331,1643.461791,2224.538375
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,10345.95462913333,10214.842917,10462.22325
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.343282,1.192417,1.644875
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,5.8578000999999995,5.015,9.66625
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,26.86254023333333,24.440833,42.774417
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,109.69513609999998,98.024292,128.194333
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,419.39897913333334,408.191333,435.540167
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1957.5869042,1930.053333,1999.170083
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,9802.454652733335,9728.736625,9895.935875
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.8934583999999998,0.892334,0.897417
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,4.740729299999999,3.928959,6.697541
