implementation,flag_id,flags,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,284.1610847333334,273.058084,335.963292
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1399.2995569000002,1293.891917,2443.557
SIMD C++,o3_native,-std=c++17 -Wall -O3 -DNDEBUG -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,6779.289697300001,6638.771875,6973.037792
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,1.0069639000000001,0.788666,1.412041
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,4.5718987,3.415208,8.008917
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,17.015015266666662,14.260541,26.352917
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,67.58828610000002,61.158875,96.530917
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,284.2850945,263.421625,353.066667
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1259.7478207,1233.567042,1296.211166
SIMD C++,o3_native_fast_math,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,6592.3038125,6433.032541,7165.664583
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,0.8797110666666669,0.831333,1.71925
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,3.8340987666666675,3.295833,10.088125
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,15.535994466666665,14.222291,29.852125
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,61.69643886666667,59.699083,67.349792
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,276.88116249999996,261.733709,336.572625
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,1283.4616653333335,1232.462084,1372.149333
SIMD C++,o3_native_fast_math_unroll,-std=c++17 -Wall -O3 -DNDEBUG -ffast-math -funroll-loops -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,128,64,64,6531.6082264666675,6389.830458,6657.192292
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,2,1,1,2.2046791333333338,2.05925,2.34475
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,4,2,2,9.684504033333333,9.252208,19.018208
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,8,4,4,39.392048700000004,38.062542,42.868917
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,16,8,8,170.37261523333336,163.3235,210.8225
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,32,16,16,731.5797000666665,718.232625,748.696791
Optimized C++,o2_no_autovec,-std=c++17 -Wall -O2 -DNDEBUG -fno-vectorize -fno-slp-vectorize -Wno-error=invalid-specialization -Wno-invalid-specialization -mcpu=native,8,64,32,32,3536.222743000001,3451.341958,3894.704083
