implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
simd C++,8,2,1,1,0.6618056666666666,0.639458,0.803
simd C++,8,4,2,2,2.520679266666666,2.402167,2.87325
simd C++,8,8,4,4,12.217097133333334,9.295042,57.745125
simd C++,8,16,8,8,38.566333233333346,37.965,41.635375
simd C++,8,32,16,16,175.11466519999996,164.234042,201.401
simd C++,8,64,32,32,886.6123499666666,835.226917,950.689625
