implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized C++,8,2,1,1,1.5830278333333334,1.415291,1.878667
Optimized C++,8,4,2,2,5.799934800000002,5.684375,5.868542
Optimized C++,8,8,4,4,23.045645900000004,22.926167,23.24
Optimized C++,8,16,8,8,96.31277213333333,95.967375,100.36275
Optimized C++,8,32,16,16,419.21583053333336,417.039084,435.011458
Optimized C++,8,64,32,32,1980.6561750666665,1978.900125,1987.668
Optimized C++,8,128,64,64,10014.9892818,9970.633833,10223.411709
