implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Python,8,2,1,1,2.7479140666666675,2.5905,3.410666
Python,8,4,2,2,7.100546033333333,6.898084,7.607959
Python,8,8,4,4,22.310374966666664,21.272584,27.156708
Python,8,16,8,8,83.03870006666666,80.283292,97.658208
Python,8,32,16,16,353.8192722333334,334.632917,482.551792
Python,8,64,32,32,1905.2326514333329,1855.11375,2320.582708
Python,8,128,64,64,10218.907932033335,9366.274125,11713.00775
