implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
simd C++,8,2,1,1,0.6566723333333334,0.63775,0.738542
simd C++,8,4,2,2,2.7467791666666668,2.379958,8.109
simd C++,8,8,4,4,10.549079066666668,9.250125,29.537708
simd C++,8,16,8,8,42.31480263333334,38.679333,60.61
simd C++,8,32,16,16,205.37058333333334,187.873667,291.723709
simd C++,8,64,32,32,1008.3150680999998,962.895792,1153.46375
simd C++,8,128,64,64,5865.451591766667,5713.210875,6333.685542
