implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Optimized C++,8,2,1,1,4.0045751,1.739667,12.133833
Optimized C++,8,4,2,2,6.974880566666666,6.293084,12.0335
Optimized C++,8,8,4,4,27.017434733333328,25.132125,36.319958
Optimized C++,8,16,8,8,113.04793193333333,106.290375,150.828084
Optimized C++,8,32,16,16,532.1817709333333,511.175084,552.964709
Optimized C++,8,64,32,32,2892.9653875000004,2737.541125,3093.618875
Optimized C++,8,128,64,64,18026.7301582,15263.466291,23683.575459
