implementation,batch,tokens,channels,avg_ms,min_ms,max_ms
C++,1,1,1,283.31693066666674,282.077958,286.867583
C++,1,4,2,1105.6966279,1086.998208,1297.383167
Predicted C++,1,8,2,4315.185224097412,4242.563555873693,5065.529574593233
