implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
C++,8,2,1,1,988.4798375333334,984.589209,1016.445125
C++,8,4,2,2,3964.9864694999997,3939.922083,4061.590291
C++,8,8,4,4,15739.822252599994,15715.598041,15959.571875
C++,8,16,8,8,63080.10251389999,62866.853959,64449.726416
C++,8,32,16,16,251729.4044236667,251507.456166,252259.174
