implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
Python,8,2,1,1,4.448768133333334,2.634125,30.411
Python,8,4,2,2,7.386593133333332,7.0405,8.663333
Python,8,8,4,4,21.81672493333334,21.166375,23.300416
Python,8,16,8,8,82.9188777,80.445208,96.993542
Python,8,32,16,16,366.97255273333343,342.333833,412.656
Python,8,64,32,32,2350.181245833334,1856.454291,4061.183042
Python,8,128,64,64,10709.214736200001,9768.839667,13487.1735
Python,8,256,128,128,52284.88719436666,45707.456583,58848.003584
