implementation,batch,tokens,channels,avg_ms,min_ms,max_ms
Optimized C++,8,64,2,991.0906873000001,986.336125,1012.207458
Optimized C++,8,128,4,5042.791186133332,4989.424458,5551.1335
Optimized C++,8,256,8,28843.901943033336,28713.304167,29649.813583
Optimized C++,8,512,16,185139.58756666668,184739.6065,186606.874167
