implementation,batch,tokens,channels,layers,avg_ms,min_ms,max_ms
simd C++,8,2,1,1,0.8460125333333334,0.796541,1.335541
simd C++,8,4,2,2,4.037605633333333,3.099167,15.345625
simd C++,8,8,4,4,14.440409699999998,12.150708,31.718375
simd C++,8,16,8,8,58.745506999999996,50.447917,79.694666
simd C++,8,32,16,16,243.75715003333335,215.851708,386.181833
simd C++,8,64,32,32,1214.8882999999998,1122.458834,1373.448167
simd C++,8,128,64,64,6821.6284653,6642.503167,7266.215417
simd C++,8,256,128,128,45563.582357066676,40712.544291,58959.212625
